log_file,mode,recovery_time_ms,records_recovered,latency_p50_ms,latency_p95_ms,latency_p99_ms,latency_mean_ms,throughput_mean_rps,throughput_peak_rps
test-rocksdb-1746734417.log,rocksdb,17,100,0.040958,0.048173,0.048794,0.04096813057000001,561.7977528089888,79317
test-in-memory-1746732270.log,in-memory,20,100,0.029047,0.036391,0.037006,0.02901619975,568.1818181818181,81566
test-rocksdb-1746732760.log,rocksdb,17,100,0.10279,0.110288,0.110924,0.10274967787999999,568.1818181818181,64715
test-in-memory-1746733293.log,in-memory,17,100,0.027098,0.033262,0.033836,0.02720069664,420.16806722689074,30191
test-rocksdb-1746735207.log,rocksdb,20,100,0.076153,0.08350904999999999,0.084146,0.07633797648,561.7977528089888,55700
test-in-memory-1746727374.log,in-memory,12,100,3.383767,3.390702,3.391403,3.3837289173299996,571.4285714285714,56709
test-in-memory-1746731673.log,in-memory,17,100,0.028194,0.035216,0.035787,0.028154732999999998,568.1818181818181,53409
test-in-memory-1746733981.log,in-memory,15,100,0.249041,0.256294,0.256925,0.24898122166,564.9717514124294,59824
test-rocksdb-1746723617.log,rocksdb,15,100,0.11221,0.119403,0.119968,0.11216620046999999,561.7977528089888,78625
test-rocksdb-1746729298.log,rocksdb,17,100,1.159782,1.166598,1.167159,1.15973760972,571.4285714285714,76132
